Eleotris fusca,Eleotris fusca,amphidromous,Full Migrant,,,,,,,,,,,,,,,amphidromous,Afrotropical|Australasian|Indomalayan|Oceanian,coastal,Least Concern,Unknown,2023,0-100(km),3,,,https://doi.org/10.1007/s10228-005-0289-z,Paper,"Larval description and habitat utilization of an amphidromous goby, Redigobius bikolanus (Gobiidae) https://www.researchgate.net/profile/Tran-Trung-Thanh/publication/323353222_Larval_description_and_habitat_utilization_of_an_amphidromous_goby_Redigobius_bikolanus_Gobiidae/links/5c6f97cba6fdcc471591ac4d/Larval-description-and-habitat-utilization-of-an-amphidromous-goby-Redigobius-bikolanus-Gobiidae.pdf",Paper,,,,,Eleotris fusca,Eleotris fusca,,,,,,,,,,,
Eleotris lutea,Eleotris lutea,amphidromous,,,,,,,,,,,,,,,,little information,NA,coastal,NA (Not in IUCN),NA (Not in IUCN),NA (Not in IUCN),little information,0,,,,,,,,,,,Eleotris lutea,,,,,,,,,,,,
Eleotris mauritiana,Eleotris mauritiana,amphidromous,,,,,,,,,,,,,,,,amphidromous,Afrotropical,coastal,Least Concern,Unknown,2016,0-100(km),3,,,,,,,,,,,Eleotris mauritiana,,,,,,,,,,,,
Eleotris melanosoma,Eleotris melanosoma,amphidromous,,,,,,,,,,,,,,,,amphidromous,Afrotropical|Australasian|Indomalayan|Oceanian|Palearctic,coastal,Least Concern,Unknown,2019,0-100(km),3,,,https://doi.org/10.1007/s10228-005-0289-z,Paper,,,,,,,Eleotris melanosoma,,,,,,,,,,,,
Eleotris oxycephala,Eleotris oxycephala,amphidromous,Full Migrant,,,,,,,,,,,,,,,amphidromous,Indomalayan|Palearctic,coastal,Least Concern,Unknown,2012,0-100(km),3,,,,,,,,,,,Eleotris oxycephala,Eleotris oxycephala,,,,,,,,,,,
Eleotris pellegrini,Eleotris pellegrini,amphidromous,,,,,,,,,,,,,,,,amphidromous,Afrotropical,coastal,Least Concern,Unknown,2016,0-100(km),2,,,,,,,,,,,Eleotris pellegrini,,,,,,,,,,,,
Eleotris perniger,Eleotris perniger,amphidromous,Full Migrant,,,,,,,,,,,,,,,amphidromous,Neotropical,coastal,Least Concern,Unknown,2019,0-100(km),2,,,,,,,,,,,Eleotris perniger,Eleotris perniger,,,,,,,,,,,
Eleotris pisonis,Eleotris pisonis,amphidromous,Full Migrant,,Amphidromous,,,,,,,,,,,,,amphidromous,Nearctic|Neotropical,coastal,Least Concern,Stable,2015,0-100(km),3,,,,,,,,,,,Eleotris pisonis,Eleotris pisonis,,Eleotris pisonis,,,,,,,,,
Eleotris sandwicensis,Eleotris sandwicensis,amphidromous,,,Amphidromous,,,,,,,,,,,,,amphidromous,Oceanian,coastal,Data Deficient,Unknown,2013,0-100(km),3,,Partial pop mig.,https://doi.org/10.1111/jfb.14224,Paper,,,,,,,Eleotris sandwicensis,,,Eleotris sandwicensis,,,,,,,,,
Eleotris senegalensis,Eleotris senegalensis,amphidromous,Full Migrant,,,,,,,,,,,,,,,amphidromous,Afrotropical,coastal,Least Concern,Unknown,2020,0-100(km),2,,,,,,,,,,,Eleotris senegalensis,Eleotris senegalensis,,,,,,,,,,,
Eleotris tecta,Eleotris tecta,potamodromous,,,,,,,,,,,,,,"No evidence of migratory. Known from drainages flowing into Golfo Dulce in southern Costa Rica to Port Utria and Isla Gorgona, Colombia. Taken only in small freshwater streams",,little information,Neotropical,more than one central river,Data Deficient,Unknown,2020,little information,0,,,https://doi.org/10.1007/s11160-011-9229-3,Paper,,,,,,,Eleotris tecta,,,,,,,,,,,,
Eleotris valadei,Eleotris valadei,amphidromous,,,,,,,,,,,,,,,,amphidromous,NA,coastal,NA (Not in IUCN),NA (Not in IUCN),NA (Not in IUCN),0-100(km),3,,,https://doi.org/10.1111/zsc.12366,Paper,,,,,,,Eleotris valadei,,,,,,,,,,,,
Eleutheronema tetradactylum,Eleutheronema tetradactylum,amphidromous,,,,,,,,,,,,,,,,amphidromous,NA,coastal,Endangered,Decreasing,2014,0-100(km),3,,,,,,,,,,,Eleutheronema tetradactylum,,,,,,,,,,,,
Ellochelon vaigiensis,Ellochelon vaigiensis,catadromous,,amphidromous,,,,,,,,,,,,,,catadromous,Afrotropical|Australasian|Indomalayan|Palearctic,more than one central river,Least Concern,Unknown,2017,0-100(km),1,,,http://eprints.cmfri.org.in/2730/1/Article_32.pdf,Other,https://researchoutput.csu.edu.au/ws/portalfiles/portal/227418935/Diversity_in_migration_patterns_of_selected_Mekong_River_fishes_Full_PhD_Thesis.pdf,Other,,,,,Ellochelon vaigiensis,,Liza vaigiensis,,,,,,,,,,
Elopichthys bambusa,Elopichthys bambusa,potamodromous,Full Migrant,,,,,,,,,,,,Breeding,https://www.iucnredlist.org/species/166188/159755690,,"potamodromous, lateral",Indomalayan|Palearctic,more than one central river,Least Concern,Increasing,2022,0-100(km),3,,,,,,,,,,,Elopichthys bambusa,Elopichthys bambusa,,,,,,,,,,,
Elops hawaiensis,Elops hawaiensis,anadromous,,,,,,,,,,,,,,,,anadromous,Australasian|Indomalayan|Oceanian,more than one central river,Data Deficient,Unknown,2022,0-100(km),3,,Partial pop mig.,https://researchoutput.csu.edu.au/ws/portalfiles/portal/227418935/Diversity_in_migration_patterns_of_selected_Mekong_River_fishes_Full_PhD_Thesis.pdf,Other,,,,,,,Elops hawaiensis,,,,,,,,,,,,
Elops saurus,Elops saurus,amphidromous,,,Anadromous,,,,,,,,,,,,,coastal,,coastal,Least Concern,Stable,2012,non-migratory,2,,,,,,,,,,,Elops saurus,,,Elops saurus,,,,,,,,,
Elops senegalensis,Elops senegalensis,,Full Migrant,,,,,,,,,,,,,,,amphidromous,Afrotropical,coastal,Data Deficient,Unknown,2020,0-100(km),3,,,https://doi.org/10.2989/18142320509504089,Paper,https://accedacris.ulpgc.es/bitstream/10553/123147/1/Freitas%20et%20al.%202018_CV%20fishes_%20Arquipelago.pdf,Paper,,,,,,Elops senegalensis,,,,,,,,,,,catadromous
Engraulicypris brevianalis,Engraulicypris brevianalis,,,,,,,,,,,Local,,,,,,"potamodromous, longitudinal",Afrotropical,more than one central river,Least Concern,Stable,2018,0-100(km),1,,,https://doi.org/10.3897/zookeys.641.10434,Paper,,,,,,,,,,,,,,,,,Mesobola brevianalis,,
Engraulicypris sardella,Engraulicypris sardella,,Full Migrant,,,,,,,,,,,,,"non-migratory for our purposes, depth migration in lake",,non-migratory,Afrotropical,lake,Least Concern,Stable,2019,non-migratory,3,,,,,,,,,,,,Engraulicypris sardella,,,,,,,,,,,potamodromous
Engraulis encrasicolus,Engraulis maeoticus,,Full Migrant,,,,,,,,,,,,,,,amphidromous,NA,coastal,NA (Not in IUCN),NA (Not in IUCN),NA (Not in IUCN),0-100(km),3,,,,,,,,,,,,Engraulis albidus,,,,,,,,,,,amphidromous
Enneacanthus chaetodon,Enneacanthus chaetodon,,,,Suspected potamodromous,,,,,,,,,,,,,little information,Nearctic,more than one central river,Near Threatened,Decreasing,2014,little information,0,,,,,,,,,,,,,,Enneacanthus chaetodon,,,,,,,,,
Enophrys lucasi,Enophrys lucasi,amphidromous,,,,,,,,,,,,,,,,little information,NA,coastal,NA (Not in IUCN),NA (Not in IUCN),NA (Not in IUCN),0-100(km),3,,,,,,,,,,,Enophrys lucasi,,,,,,,,,,,,
Enteromius ablabes,Enteromius ablabes,potamodromous,Full Migrant,potamodromous,,,,,,,,,,,Little information,"Maybe lateral. This is a benthopelagic, potamodromous species (Reide 2004) that lives in streams and grazes on aquatic plants. The maximum total length (TL) was recorded as 11 cm. It occurs mostly in forest rivers (Lévêque and Daget 1984). It is a polymorphic species.",,little information,Afrotropical,more than one central river,Least Concern,Unknown,2020,little information,0,,,,,,,,,,,Enteromius ablabes,Enteromius ablabes,Barbus ablabes,,,,,,,,,,
Enteromius afrohamiltoni,Enteromius afrohamiltoni,,,,,,,,,,,Far (50km?),,,Little information,,,"potamodromous, lateral",Afrotropical,more than one central river,Least Concern,Unknown,2018,0-100(km),1,,,,,,,,,,,,,,,,,,,,,Barbus afrohamiltoni,,
Enteromius amatolicus,Enteromius amatolicus,,,,,,,,,,,0-20km,,,,,,little information,Afrotropical,more than one central river,Data Deficient,Unknown,2018,little information,0,,,,,,,,,,,,,,,,,,,,,Barbus amatolicus,,
Enteromius annectens,Enteromius annectens,,,,,,,,,,,Far (50km?),,,,,,"potamodromous, longitudinal",Afrotropical,more than one central river,Least Concern,Unknown,2018,0-100(km),1,,,https://agris.fao.org/search/en/providers/122621/records/647396913ed73003714cd019,Book,,,,,,,,,,,,,,,,,Barbus annectens,,
Enteromius anoplus,Enteromius anoplus,,,,,,,,,,,10km,,,,,,little information,Afrotropical,more than one central river,Least Concern,Unknown,2017,little information,0,,,,,,,,,,,,,,,,,,,,,Barbus anoplus,,
Enteromius apleurogramma,Enteromius apleurogramma,,Full Migrant,,,,,,,,,,,,Breeding,"migrates into temporary streams for breeding, fractal breeder however, IUCN",,"potamodromous, lateral",Afrotropical,more than one central river,Least Concern,Unknown,2020,0-100(km),3,,,,,,,,,,,,Enteromius apleurogramma,,,,,,,,,,,potamodromous
Enteromius arcislongae,Enteromius arcislongae,,Full Migrant,,,,,,,,,,,,Breeding,IUCN,,"potamodromous, longitudinal",Afrotropical,lake and river migration,Least Concern,Stable,2018,0-100(km),3,,,,,,,,,,,,Enteromius arcislongae,,,,,,,,,,,potamodromous
Enteromius argenteus,Enteromius argenteus,,,,,,,,,,,Local,,,,,,little information,Afrotropical,more than one central river,Least Concern,Unknown,2018,little information,0,,,,,,,,,,,,,,,,,,,,,Barbus argenteus,,
Enteromius baudoni,Enteromius baudoni,potamodromous,Full Migrant,potamodromous,,,,,,,,,,,Little information,"just stated as potamodromous on IUCN; FB empty, little species-specific info online. No distribution map on IUCN to see if range appears similar to longitudinal sister species. Barbus baudoni is a benthopelagic, potamodromous species. Enteromius baudoni are benthopelagic, potamodromous fish that are harvested for human consumption.Threats to the species include deforestation, which leads to additions of silt in their ecosystem.[1]",,little information,Afrotropical,more than one central river,Least Concern,Unknown,2020,little information,0,,,,,,,,,,,Enteromius baudoni,Enteromius baudoni,Barbus baudoni,,,,,,,,,,
Enteromius bifrenatus,Enteromius bifrenatus,potamodromous,,potamodromous,,,,,,,,Local,,,Breeding,FishBase,,"potamodromous, longitudinal",Afrotropical,more than one central river,Least Concern,Stable,2018,0-100(km),1,,,"Bell-Cross, G. and Minshull, J.L. 1988. The fishes of Zimbabwe. National Museums and Monuments of Zimbabwe. https://books.google.de/books/about/The_Fishes_of_Zimbabwe.html?id=GycMAQAAIAAJ&redir_esc=y ",Paper,,,,,,,Enteromius bifrenatus,,Barbus bifrenatus,,,,,,,,Barbus bifrenatus,,
Enteromius brevipinnis,Enteromius brevipinnis,,,,,,,,,,,Very local movement,,,,,,little information,Afrotropical,one large river,Near Threatened,Decreasing,2017,little information,0,,,,,,,,,,,,,,,,,,,,,Barbus brevipinnis,,
Enteromius eutaenia,Enteromius eutaenia,potamodromous,Full Migrant,potamodromous,,,,,,,,Local,,,Little information,lontigudinal from IUCN; likely for breeding from family,,"potamodromous, longitudinal",Afrotropical,more than one central river,Least Concern,Unknown,2018,0-100(km),1,,,"Bell-Cross, G. and Minshull, J.L. 1988. The fishes of Zimbabwe. National Museums and Monuments of Zimbabwe. https://books.google.de/books/about/The_Fishes_of_Zimbabwe.html?id=GycMAQAAIAAJ&redir_esc=y ",Paper,,,,,,,Enteromius eutaenia,Enteromius eutaenia,Barbus eutaenia,,,,,,,,Barbus eutaenia,,
Enteromius gurneyi,Enteromius gurneyi,,,,,,,,,,,<10km,,,,,,little information,Afrotropical,more than one central river,Vulnerable,Decreasing,2017,little information,0,,,,,,,,,,,,,,,,,,,,,Barbus gurneyi,,
Enteromius kerstenii,Enteromius kerstenii,,Full Migrant,,,,,,,,,,,,Breeding,IUCN,,little information,Afrotropical,more than one central river,Least Concern,Stable,2018,little information,0,,,"Copley, H., 1958. Common freshwater fishes of East Africa. H.F. & G. Witherby Ltd., London. 172p. https://cir.nii.ac.jp/crid/1130000798170030464 ",Paper,,,,,,,,Enteromius kerstenii,,,,,,,,,,,potamodromous
Enteromius leonensis,Enteromius leonensis,potamodromous,,potamodromous,,,,,,,,,,,Little information,"from Encyclopedia of Life - perhaps a suspect source? Little information elsewhere, but longitudinal and breeding are consistent with family",,little information,Afrotropical,more than one central river,Least Concern,Unknown,2020,little information,0,,,,,,,,,,,Enteromius leonensis,,Barbus leonensis,,,,,,,,,,
Enteromius liberiensis,Enteromius liberiensis,potamodromous,Full Migrant,potamodromous,,,,,,,,,,,Little information,"likely longitudinal per family (and on the 'State of World's Migratory Species, https://www.cms.int/sites/default/files/document/annex%203.pdf), unclear purpose from literature",,little information,Afrotropical,one large river,Endangered,Unknown,2020,little information,0,,,,,,,,,,,Enteromius liberiensis,Enteromius liberiensis,Barbus liberiensis,,,,,,,,,,
Enteromius lineomaculatus,Enteromius lineomaculatus,potamodromous,Full Migrant,potamodromous,,,,,,,,Local,,,Breeding,IUCN,,"potamodromous, longitudinal",Afrotropical,more than one central river,Least Concern,Unknown,2018,0-100(km),1,,,https://files.polsri.ac.id/Magazines/All%20Animals/Fish//Paul_Skelton-A_complete_guide_to_the_freshwater_fishes_of_Southern_Africa-Struik(2001).pdf,Paper,,,,,,,Enteromius lineomaculatus,Enteromius lineomaculatus,Barbus lineomaculatus,,,,,,,,Barbus lineomaculatus,,
Enteromius litamba,Enteromius litamba,potamodromous,Full Migrant,potamodromous,,,,,,,,,,,Breeding,IUCN,,"potamodromous, longitudinal",Afrotropical,lake and river migration,Data Deficient,Unknown,2019,0-100(km),2,,,,,,,,,,,Enteromius litamba,Enteromius litamba,Barbus litamba,,,,,,,,,,
Enteromius macinensis,Enteromius macinensis,potamodromous,Full Migrant,potamodromous,,,,,,,,,,,Little information,"assumed from family, little additional information; IUCN and FB blank for details, no life history examination",,little information,Afrotropical,more than one central river,Least Concern,Unknown,2020,little information,0,,,,,,,,,,,Enteromius macinensis,Enteromius macinensis,Barbus macinensis,,,,,,,,,,
Enteromius macrops,Enteromius macrops,potamodromous,Full Migrant,potamodromous,,,,,,,,,,,Little information,"assumed from family; IUCN and FB blank; major paper dealing with this species specifically is a length x weight study. Little information, maybe lateral. But not sure.",,little information,Afrotropical,more than one central river,Least Concern,Unknown,2020,little information,0,,,,,,,,,,,Enteromius macrops,Enteromius macrops,Barbus macrops,,,,,,,,,,
Enteromius magdalenae,Enteromius magdalenae,,Full Migrant,,,,,,,,,,,,Breeding,IUCN,,"potamodromous, longitudinal",Afrotropical,lake and river migration,Least Concern,Unknown,2018,0-100(km),1,,,,,,,,,,,,Enteromius magdalenae,,,,,,,,,,,potamodromous
Enteromius mattozi,Enteromius mattozi,potamodromous,Full Migrant,potamodromous,,,,,,,,Wash down great distances (40km),,,Breeding,IUCN,,"potamodromous, longitudinal",Afrotropical,more than one central river,Least Concern,Unknown,2018,0-100(km),1,,,,,,,,,,,Enteromius mattozi,Enteromius mattozi,Barbus mattozi,,,,,,,,Barbus mattozi,,
Enteromius motebensis,Enteromius motebensis,,,,,,,,,,,Very local movement,,,,,,little information,Afrotropical,one large river,Near Threatened,Unknown,2017,little information,0,,,https://rsis.ramsar.org/RISapp/files/57142746/documents/ZA2532_lit231017_1.pdf,Report,,,,,,,,,,,,,,,,,Barbus motebensis,,
Enteromius neefi,Enteromius neefi,,,,,,,,,,,Very local movement,,,,,,little information,Afrotropical,more than one central river,Least Concern,Unknown,2018,little information,0,,,,,,,,,,,,,,,,,,,,,Barbus neefi,,
Enteromius nyanzae,Enteromius nyanzae,,Full Migrant,,,,,,,,,,,,Breeding,IUCN; juveniles journey up-river and return in the next flooding event,,"potamodromous, longitudinal",Afrotropical,one large river,Least Concern,Unknown,2018,0-100(km),2,,,,,,,,,,,,Enteromius nyanzae,,,,,,,,,,,potamodromous
Enteromius pallidus,Enteromius pallidus,,,,,,,,,,,Very local movement,,,,,,little information,Afrotropical,more than one central river,Least Concern,Unknown,2018,little information,0,,,,,,,,,,,,,,,,,,,,,Barbus pallidus,,
Enteromius paludinosus,Enteromius paludinosus,,Full Migrant,,,,,,,,,8km reported / specialist thinks much further (50km),,,Breeding,IUCN,,"potamodromous, longitudinal",Afrotropical,more than one central river,Least Concern,Unknown,2018,0-100(km),1,,,https://doi.org/10.1016/j.sciaf.2019.e00097,Paper,,,,,,,,Enteromius paludinosus,,,,,,,,,Barbus paludinosus,,potamodromous
Enteromius pobeguini,Enteromius pobeguini,potamodromous,Full Migrant,potamodromous,,,,,,,,,,,Little information,"little info on IUCN, FB; likely longitudinal from family; confirmed migratory (https://eol.org/tr/pages/49803208/articles?locale_code=en&resource_id=395), although the site doesn't seem hugely reliable.",,little information,Afrotropical,more than one central river,Least Concern,Unknown,2020,little information,0,,,,,,,,,,,Enteromius pobeguini,Enteromius pobeguini,Barbus pobeguini,,,,,,,,,,
Enteromius pumilus,Enteromius pumilus,potamodromous,,potamodromous,,,,,,,,,,,Little information,"Little expansion on FB or IUCN, longitudinal assumed from family, little information found online outside of genetic comparative studies",,little information,Afrotropical,one large river,Least Concern,Unknown,2020,little information,0,,,,,,,,,,,Enteromius pumilus,,Barbus pumilus,,,,,,,,,,
Enteromius radiatus,Enteromius radiatus,,Full Migrant,,,,,,,,,Local,,,Little information,"assumed from family; 'seasonal migration' from IUCN, but little further explanation. FB blank; IUCN cited article from a book behind a paywall (https://www.anglebooks.com/catalog/product/view/id/4788)",,"potamodromous, longitudinal",Afrotropical,more than one central river,Least Concern,Unknown,2018,0-100(km),1,,,,,,,,,,,,Enteromius radiatus,,,,,,,,,Barbus radiatus,,potamodromous
---,Enteromius rapax,,Full Migrant,,,,,,,,,,,,Breeding,"assumed from IUCN, preference for pools in temporary streams and migratory behavior. (Migration to temporary pools)",,"potamodromous, lateral",Afrotropical,one large river,Least Concern,Unknown,2017,0-100(km),1,,,,,,,,,,,,Enteromius rapax,,,,,,,,,,,potamodromous
Enteromius stigmatopygus,Enteromius stigmatopygus,potamodromous,Full Migrant,potamodromous,,,,,,,,,,,Little information,lack of source confirming potamodromous movement; likely from family,,little information,Afrotropical,more than one central river,Least Concern,Unknown,2020,little information,0,,,,,,,,,,,Enteromius stigmatopygus,Enteromius stigmatopygus,Barbus stigmatopygus,,,,,,,,,,
Enteromius sublineatus,Enteromius sublineatus,potamodromous,Full Migrant,potamodromous,,,,,,,,,,,Little information,"no expansion on 'potamodromous' label on IUCN, FB, little information online. Moves inbetween river stretches",,little information,Afrotropical,more than one central river,Least Concern,Unknown,2020,little information,0,,,,,,,,,,,Enteromius sublineatus,Enteromius sublineatus,Barbus sublineatus,,,,,,,,,,
Enteromius toppini,Enteromius toppini,potamodromous,,potamodromous,,,,,,,,Far (50km?),,,Little information,"little information on FB, IUCN; little augmentation online",,"potamodromous, longitudinal",Afrotropical,more than one central river,Least Concern,Unknown,2018,0-100(km),1,,,"Skelton, P.H., 2001. A complete guide to the freshwater fishes of southern Africa. Cape Town (South Africa): Struik Publishers, 395 p. https://agris.fao.org/search/en/providers/122415/records/647369122c1d629bc9809487",Paper,,,,,,,Enteromius toppini,,Barbus toppini,,,,,,,,Barbus toppini,,
